,Clickbaits,bait
0,Bill Changing Credit Card Rules Is Sent to Obama With Gun Measure Included,0
1,"In Hollywood, the Easy-Money Generation Toughens Up",0
2,1700 runners still unaccounted for in UK's Lake District following flood,0
4,Yankees Pitchers Trade Fielding Drills for Putting Practice,0
5,Large earthquake rattles Indonesia; Seventh in two days,0
7,Coldplay's new album hits stores worldwide this week,0
9,U.N. Leader Presses Sri Lanka on Speeding Relief to War Refugees in Camps,0
10,2 Somali-Americans Charged With Aiding Terror,0
11,"US Highway Administration releases interim report on Boston's Big Dig: press release claims tunnel safe,",0
13,White House Announces International Meetings to Address Energy and Climate Issues,0
14,"With Troubled Coyotes, Gretzky Called On as Savior Again",0
15,Door opens mid-Qantas flight; plane makes an emergency landing,0
17,Gas prices surge in Northeast US,0
19,"Schapelle Corby found guilty, sentenced to 20 years",0
21,"2008 SecuTech Expo starts in Taipei, Taiwan for grasping global security industry",0
23,"New year introduces Illinois texting while driving ban, among other laws",0
25,Rod Woodson Tries to Stay Grounded Amid Hall of Fame Talk,0
26,Former US President Gerald Ford hospitalized with pneumonia,0
28,Obama Welcomes Specter to the Party,0
29,"New law to help asbestos sufferers in Victoria, Australia",0
31,France Approves Crackdown on Internet Piracy,0
32,"With Fine Print, the Rollout Dazzles This Time",0
33,UK's most-read papers found to be in contempt of court,0
35,"As Germany Sinks, Its Economic System Is Questioned",0
36,Tropical Storm Dolores now active,0
38,Car Bomb Kills Police Official in Spain,0
39,"'Invitational Games for the Deaf, Taipei 2008' starts, new slogan for 2009 Summer Deaflympics unveiled",0
41,US government stops Haiti evacuations,0
43,Credit Card Industry Aims to Profit From Sterling Payers,0
44,Google Maps incorporates satellite images,0
46,"Seven dead, one missing, two survive French helicopter crash off Gabon coast",0
48,Wikinews interviews 0 A.D. game development team,0
50,Gates Issues Warning to North Korea,0
51,Global Industrial Slump Prompts Plant Closings and Layoffs Across Asia,0
52,Nuclear leaks after Japan quake are worse than first reported,0
54,"UEFA Champions League: April 1, 2008",0
56,"Medtronic Paid $788,000 to Doctor Accused of Faking Study",0
57,Ivory Coast beats Serbia and Montenegro 3-2 in Group C,0
59,Political Shifts on Gay Rights Lag Behind Culture,0
60,Taliban militant kills at least thirteen in northwest Pakistan,0
62,National Park Service covers donation box at United Airlines Flight 93 memorial,0
64,Yankees Profit From Their Own Seventh-Inning Stretch,0
65,At least twenty dead after mudslides in Peru,0
